,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
12,CHAS=0.0,0.0005754510072877037,,,,,,,
13,CHAS=1.0,0.0013409132380265863,,,,,,,
1,ZN,0.013730010452811785,11.561904504492452,-0.008320633862692746,0.02585984719009816,0.012647591663435417,0.03120491270866281,0.0,0.0
7,RAD,0.01688495552155402,4.289541828805091,-0.7399955287534,0.11407944096449889,0.7456949362263625,0.13762636881236573,0.41429717192434623,0.04427664938265963
2,INDUS,0.03265736274808673,3.443039676613363,0.07869963818282653,-0.07066484296345224,0.1533852219389496,0.24526088332088605,0.0,0.054346221929282734
9,PTRATIO,0.037183870024597866,1.1129704632793018,0.6998524222925544,-0.4355118867920566,0.7160766623897047,0.45483629096411476,0.3985244546725131,0.3196591552406325
8,TAX,0.04854265976968678,82.98343425017102,1.150687078174563,-0.4084351058918395,1.195992954532363,0.4257753952314252,0.07855687555772839,0.11582194860932304
10,B,0.07351222206858564,45.72656881574895,-0.465788033526069,0.04997116655747501,0.532113058456662,0.22634235260827945,0.34033787654413494,0.017066010194579206
3,NOX,0.08840218490063753,0.05877935520360989,0.17906217224738902,-0.1544423149743908,0.5744165130544826,0.46943960342843194,0.3533422156022894,0.1566323667756464
0,CRIM,0.0922944051998686,4.4291355305508,-0.764326192630321,-0.6137794775969976,0.9957557305503009,0.7921504904195175,0.6997535213218153,0.4945042457692095
5,AGE,0.12279560534146508,13.980126746690955,0.13538092112679953,-0.1624671128573053,0.5925812951211585,0.38400219550044723,0.42648533647847664,0.23902455383018406
6,DIS,0.13991686316828597,1.0642935686250505,1.2075984014155379,-0.13533596440102533,1.3145254108047906,0.7822817714299766,0.6309053744087283,0.38466456993571363
11,LSTAT,0.14129098044849858,3.5507877966079993,2.2171200870862946,-1.6769133786178725,2.2382989509325952,1.7512370515304196,1.5659302522961651,1.3676997599703444
4,RM,0.1908725161106072,0.3542865889835718,-1.2068316658916693,1.5217510434506898,1.3056348436113707,1.6481624366991978,0.619183139688646,0.9001527711229063
