video_name,IMG_0058
cand,4.17,8.33,20.83,20.83,8.33,4.17,8.33,4.17,25.0,25.0,20.83,4.17,8.33,4.17,25.0,4.17,25.0,4.17,8.33,-12887.5,4.17,-14012.5,8.33,4.17,8.33,4.17,25.0,-17325.0,8.33
pinyin,4.17,8.33,20.83,329.17,8.33,4.17,8.33,4.17,25.0,25.0,175.0,4.17,8.33,4.17,25.0,4.17,25.0,4.17,4.17,8.33,4.17,-14012.5,8.33,8.33,8.33,4.17,-16791.67,-17325.0,8.33
start,279,407,540,688,801,934,1070,1203,1340,1609,1746,1883,2015,2148,2280,2418,2542,2683,2824,3093,3230,3363,3495,3632,3764,3902,4030,4167,4299
cand_change,280,409,545,693,803,935,1072,1204,1346,1615,1751,1884,2017,2149,2286,2419,2548,2684,2826,0,3231,0,3497,3633,3766,3903,4036,9,4301
pinyin_change,280,409,545,767,803,935,1072,1204,1346,1615,1788,1884,2017,2149,2286,2419,2548,2684,2825,3095,3231,0,3497,3634,3766,3903,0,9,4301

video_name,IMG_0058
cand,529.17,550.0,612.5,466.67,550.0,562.5,550.0,566.67,566.67,566.67,566.67,545.83,550.0,545.83,570.83,512.5,583.33,583.33,566.67,566.67,550.0,545.83,566.67,545.83,570.83,529.17,566.67,545.83,554.17
pinyin,529.17,550.0,612.5,466.67,550.0,562.5,550.0,566.67,566.67,566.67,566.67,545.83,550.0,545.83,570.83,512.5,583.33,583.33,566.67,566.67,550.0,545.83,566.67,545.83,570.83,529.17,566.67,545.83,554.17
start,279,407,540,688,801,934,1070,1203,1340,1609,1746,1883,2015,2148,2280,2418,2542,2683,2824,3093,3230,3363,3495,3632,3764,3902,4030,4167,4299
cand_change,406,539,687,800,933,1069,1202,1339,1476,1745,1882,2014,2147,2279,2417,2541,2682,2823,2960,3229,3362,3494,3631,3763,3901,4029,4166,4298,4432
pinyin_change,406,539,687,800,933,1069,1202,1339,1476,1745,1882,2014,2147,2279,2417,2541,2682,2823,2960,3229,3362,3494,3631,3763,3901,4029,4166,4298,4432

video_name,IMG_0058
cand,529.17,550.0,612.5,466.67,550.0,562.5,550.0,566.67,566.67,566.67,566.67,545.83,550.0,545.83,570.83,512.5,583.33,583.33,566.67,566.67,550.0,545.83,566.67,545.83,570.83,529.17,566.67,545.83,554.17
pinyin,529.17,550.0,612.5,466.67,550.0,562.5,550.0,566.67,566.67,566.67,566.67,545.83,550.0,545.83,570.83,512.5,583.33,583.33,566.67,566.67,550.0,545.83,566.67,545.83,570.83,529.17,566.67,545.83,554.17
start,279,407,540,688,801,934,1070,1203,1340,1609,1746,1883,2015,2148,2280,2418,2542,2683,2824,3093,3230,3363,3495,3632,3764,3902,4030,4167,4299
cand_change,406,539,687,800,933,1069,1202,1339,1476,1745,1882,2014,2147,2279,2417,2541,2682,2823,2960,3229,3362,3494,3631,3763,3901,4029,4166,4298,4432
pinyin_change,406,539,687,800,933,1069,1202,1339,1476,1745,1882,2014,2147,2279,2417,2541,2682,2823,2960,3229,3362,3494,3631,3763,3901,4029,4166,4298,4432

