video_name,821_2,,,,,,,,,
cand_change,597,879,1152,1430,1714,1992,2265,2548,2828,3101
pinyin_change,596,878,1156,1433,1713,1991,2264,2547,2828,3101

video_name,820_4
cand,25.0,25.0,25.0,25.0,12.5,29.17,25.0,25.0,8.33,12.5
pinyin,41.67,25.0,25.0,37.5,8.33,25.0,25.0,25.0,8.33,8.33
start,609,887,1168,1446,1734,2012,2302,2583,2861,3145
cand_change,615,893,1174,1452,1737,2019,2308,2589,2863,3148
pinyin_change,619,893,1174,1455,1736,2018,2308,2589,2863,3147

video_name,820_5
cand,25.0,25.0,8.33,37.5,29.17,8.33,8.33,8.33,29.17,12.5
pinyin,25.0,25.0,20.83,8.33,25.0,25.0,20.83,20.83,25.0,25.0
start,278,563,845,1129,1403,1684,1962,2239,2516,2797
cand_change,284,569,847,1138,1410,1686,1964,2241,2523,2800
pinyin_change,284,569,850,1131,1409,1690,1967,2244,2522,2803

video_name,820_6
cand,29.17,29.17,8.33,8.33,8.33,29.17,29.17,12.5,8.33,8.33
pinyin,41.67,25.0,25.0,20.83,20.83,25.0,25.0,16.67,25.0,12.5
start,597,875,1156,1442,1723,2000,2277,2559,2837,3118
cand_change,604,882,1158,1444,1725,2007,2284,2562,2839,3120
pinyin_change,607,881,1162,1447,1728,2006,2283,2563,2843,3121

video_name,820_7
cand,25.0,12.5,29.17,8.33,8.33,25.0,8.33,12.5,12.5,25.0
pinyin,20.83,25.0,25.0,8.33,16.67,20.83,20.83,25.0,8.33,25.0
start,634,919,1204,1486,1772,2045,2319,2599,2885,3158
cand_change,640,922,1211,1488,1774,2051,2321,2602,2888,3164
pinyin_change,639,925,1210,1488,1776,2050,2324,2605,2887,3164

video_name,820_8
cand,4.17,12.5,12.5,8.33,8.33,8.33,8.33,12.5,12.5,25.0
pinyin,62.5,25.0,8.33,8.33,8.33,25.0,20.83,8.33,8.33,25.0
start,585,846,1135,1413,1702,1976,2249,2518,2799,3077
cand_change,586,849,1138,1415,1704,1978,2251,2521,2802,3083
pinyin_change,600,852,1137,1415,1704,1982,2254,2520,2801,3083

video_name,820_9
cand,12.5,12.5,12.5,25.0,8.33,12.5,16.67,12.5,25.0,8.33
pinyin,8.33,25.0,8.33,25.0,20.83,25.0,29.17,25.0,25.0,25.0
start,621,895,1184,1454,1739,2008,2293,2575,2857,3126
cand_change,624,898,1187,1460,1741,2011,2297,2578,2863,3128
pinyin_change,623,901,1186,1460,1744,2014,2300,2581,2863,3132

